Iteration	parent	child	p-val
519	19260.0	18910.0	1.93503512797e-05
520	19131.0	18909.0	1.55333575592e-15
521	19218.0	18908.0	3.00032904514e-225
522	19081.0	18907.0	2.30910390748e-08
523	19181.0	18906.0	7.13588486927e-17
524	19095.0	18905.0	5.91578068793e-112
525	18994.0	18904.0	1.35938256256e-09
526	18991.0	18903.0	3.13213250288e-39
527	19182.0	18902.0	2.36406451626e-104
528	18985.0	18901.0	1.76878532639e-18
529	19141.0	18900.0	8.99937187761e-06
530	19160.0	18899.0	6.34736531685e-23
531	19010.0	18898.0	1.31002502379e-66
532	19175.0	18897.0	3.1888248377e-51
533	19188.0	18896.0	9.5046662021e-10
534	18968.0	18895.0	3.2867895252e-53
535	19065.0	18894.0	4.74124522748e-10
536	19277.0	18893.0	0.0
537	19199.0	18892.0	6.95289592287e-153
538	19138.0	18891.0	2.85009178797e-15
539	19230.0	18890.0	2.08522055304e-213
540	19129.0	18889.0	3.66300859297e-44
541	19151.0	18888.0	2.64043179636e-144
542	19098.0	18887.0	2.05968708638e-05
543	19253.0	18886.0	0.0
544	19267.0	18885.0	3.97813475601e-64
545	19059.0	18884.0	3.07060087004e-93
546	19197.0	18883.0	4.23319890151e-191
547	19129.0	18882.0	1.06843306741e-72
548	19036.0	18881.0	8.04622611421e-127
549	19174.0	18880.0	1.3470515557e-193
550	19145.0	18879.0	1.18254173596e-56
551	19255.0	18878.0	1.79343662361e-151
552	19122.0	18877.0	4.82107716526e-18
553	19154.0	18876.0	1.38179704545e-88
554	19089.0	18875.0	2.21895998024e-09
555	18981.0	18874.0	5.26311603986e-99
556	19008.0	18873.0	1.80604685088e-118
557	19054.0	18872.0	3.40228545991e-23
558	19138.0	18871.0	1.3027011796e-180
559	19177.0	18870.0	1.33680986693e-130
560	19090.0	18869.0	1.89709376085e-47
561	19032.0	18868.0	2.52409825854e-72
562	19028.0	18867.0	1.88791711161e-84
563	19140.0	18866.0	3.69222142171e-14
564	19073.0	18865.0	8.62985118763e-102
565	19155.0	18864.0	2.2165549026e-19
566	19111.0	18863.0	1.07459254422e-39
567	19033.0	18862.0	2.49947651479e-28
568	19064.0	18861.0	2.00590850012e-19
569	19213.0	18860.0	5.7554592994e-53
570	19166.0	18859.0	1.3058923635e-112
571	19147.0	18858.0	7.1180119902e-27
572	19146.0	18857.0	1.89096801554e-15
573	19096.0	18856.0	7.43222214175e-131
574	19030.0	18855.0	3.16741718824e-40
575	19032.0	18854.0	1.62696690335e-56
576	18957.0	18853.0	9.04209113192e-11
577	19134.0	18852.0	5.44709492486e-17
578	19085.0	18851.0	3.6476226206e-121
579	18987.0	18850.0	7.80544441383e-150
580	19149.0	18849.0	1.18295523364e-18
581	19058.0	18848.0	1.79598850056e-28
582	19052.0	18847.0	1.30986262879e-55
583	19058.0	18846.0	6.01457279393e-127
584	19149.0	18845.0	3.42327245004e-79
585	19204.0	18844.0	2.0764844499e-82
586	19012.0	18843.0	1.05751308246e-83
587	19006.0	18842.0	1.56779316103e-77
588	19295.0	18841.0	5.70530183011e-81
589	19278.0	18840.0	1.47499533941e-146
590	19152.0	18839.0	6.07815248463e-42
591	18961.0	18838.0	5.1939993761e-07
592	19016.0	18837.0	8.87998385906e-25
593	18875.0	18836.0	2.33372116552e-32
594	19120.0	18835.0	7.15938010173e-12
595	19264.0	18834.0	8.85990480651e-183
596	19080.0	18833.0	1.69852182413e-27
597	19133.0	18832.0	2.54004003718e-102
598	19100.0	18831.0	6.27455335827e-17
599	19084.0	18830.0	7.24743033523e-96
600	19006.0	18829.0	2.73515431598e-45
601	18981.0	18828.0	1.5512009891e-39
602	18900.0	18827.0	2.93272632304e-12
603	18950.0	18826.0	3.15930968986e-20
604	19099.0	18825.0	9.49719343502e-140
605	19118.0	18824.0	1.91567730269e-112
606	19125.0	18823.0	4.39986436478e-72
607	18923.0	18822.0	6.5023361663e-15
608	19157.0	18821.0	4.7938499912e-24
609	19199.0	18820.0	8.45640792657e-09
610	19233.0	18819.0	2.24980294528e-186
611	19041.0	18818.0	0.0
612	18887.0	18817.0	1.12744502132e-32
613	18911.0	18816.0	1.53177008182e-06
614	18967.0	18815.0	1.5078684015e-31
615	18896.0	18814.0	9.11088700626e-08
616	19113.0	18813.0	8.06248148716e-119
617	19088.0	18812.0	6.77513870658e-241
618	19207.0	18811.0	2.84270580657e-53
619	19064.0	18810.0	4.01670106048e-141
620	19025.0	18809.0	1.56835298356e-14
621	19023.0	18808.0	2.2165549026e-19
622	19166.0	18807.0	1.20757362561e-33
623	18962.0	18806.0	4.35605277854e-23
624	19117.0	18805.0	6.633118574e-115
625	19116.0	18804.0	4.00161640355e-70
626	19061.0	18803.0	1.14381490558e-21
627	18998.0	18802.0	1.10484804571e-22
628	19194.0	18801.0	4.74282626995e-47
629	19240.0	18800.0	4.08376193225e-234
630	19147.0	18799.0	6.70292659919e-52
631	19031.0	18798.0	9.93332974998e-17
632	18824.0	18797.0	1.77203423878e-08
633	19075.0	18796.0	1.89862310124e-57
634	18874.0	18795.0	0.000607265931685
635	18968.0	18794.0	4.50943702976e-67
636	18978.0	18793.0	3.43993929384e-102
637	19008.0	18792.0	1.85899287992e-25
638	19152.0	18791.0	2.7549963111e-79
639	18902.0	18790.0	4.52774216164e-21
640	19319.0	18789.0	1.21422516518e-39
641	18891.0	18788.0	1.61398366318e-10
642	19099.0	18787.0	1.13238499761e-24
643	18821.0	18786.0	9.23942381346e-26
