time,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
2013-06-23,256.521652222,392.251647949,25.85,51.2277183533,5.9,0.0,0.0
2013-06-24,274.138828278,387.353851318,28.05,46.0903091431,5.1,0.0084,0.0
2013-06-25,274.356739044,395.447143555,26.95,53.3142814636,5.3,0.0,0.0
2013-06-26,160.354406357,402.459228516,23.35,63.4249458313,3.1,0.001,0.0
2013-06-27,101.022180557,398.492431641,17.5,53.5159301758,3.2,0.0008,0.0
2013-06-28,143.672763824,399.078582764,21.95,59.8292045593,6.0,0.0114,0.0
2013-06-29,216.544342041,391.143218994,24.7,41.4279403687,5.5,0.0018,0.0
2013-06-30,226.988193512,381.58380127,24.75,33.3766784668,4.6,0.0028,0.0
2013-07-01,111.486917496,402.365570068,25.55,68.8687896729,4.0,0.0008,0.0
2013-07-02,133.609680176,406.293884277,21.95,70.5868682861,3.8,0.0,0.0
2013-07-03,209.17486763,408.044799805,24.75,72.9523086548,5.5,0.0,0.0
2013-07-04,287.87494278,402.706939697,29.15,55.0659179688,5.4,0.0,0.0
2013-07-05,285.999324799,403.835906982,30.55,44.1266937256,5.6,0.0,0.0
2013-07-06,258.467334747,407.955688477,30.0,59.4341659546,5.1,0.0,0.0
2013-07-07,201.268995285,404.653381348,28.9,60.0265922546,3.4,0.0,0.0
2013-07-08,230.224311829,410.553924561,24.15,64.6948471069,4.0,0.0003,0.0
2013-07-09,119.797868729,402.363800049,20.25,53.918636322,2.6,0.0,0.0
2013-07-10,128.48884964,408.481262207,24.7,41.8377799988,4.5,0.0003,0.0
2013-07-11,151.810276031,404.95690918,25.3,65.7944412231,3.6,0.0043,0.0
2013-07-12,240.048309326,379.115081787,21.1,56.2864112854,5.7,0.0,0.0
2013-07-13,140.224431992,398.394958496,20.55,65.3207931519,2.9,0.0,0.0
2013-07-14,232.799594879,408.680877686,27.25,51.9368362427,2.2,0.0,0.0
2013-07-15,253.707386017,403.187316895,28.3,43.1255378723,3.1,0.0,0.0
2013-07-16,273.761444092,399.670684814,28.9,39.6856307983,2.9,0.0003,0.0
2013-07-17,277.673240662,405.008331299,28.9,46.9364967346,3.8,0.0,0.0
2013-07-18,272.412563324,408.335021973,28.6,49.8129234314,4.6,0.0,0.0
2013-07-19,268.588523865,412.896087646,31.4,50.5928993225,6.7,0.0,0.0
2013-07-20,206.81558609,412.332275391,30.85,63.3025054932,5.7,0.0,0.0
2013-07-21,210.605550766,382.332519531,23.05,53.4177398682,4.0,0.0003,0.0
2013-07-22,204.738595963,389.191131592,22.2,59.5088539124,3.3,0.0,0.0
2013-07-23,109.144647598,405.01361084,23.9,54.3154525757,2.7,0.0447,0.0
2013-07-24,240.35559082,393.312408447,25.0,49.1220550537,3.8,0.0,0.0
2013-07-25,102.24385643,366.137664795,17.25,50.378452301,4.8,0.0069,0.0
2013-07-26,118.520418167,376.885375977,19.45,64.0493621826,5.0,0.0254,0.0
2013-07-27,263.644073486,362.223022461,22.8,36.3738746643,3.9,0.0,0.0
2013-07-28,196.249889374,378.002807617,21.65,45.4733657837,2.9,0.0003,0.0
2013-07-29,209.206739426,391.105438232,23.05,48.3177261353,3.0,0.0084,0.0
2013-07-30,276.976047516,349.268798828,23.9,26.4750995636,3.8,0.0,0.0
2013-07-31,253.55569458,355.01348877,23.05,32.7432861328,3.6,0.0,0.0
2013-08-01,182.512050629,377.330078125,23.35,44.221698761,4.3,0.0,0.0
2013-08-02,233.456230164,381.447845459,24.15,50.5085144043,3.7,0.0033,0.0
2013-08-03,190.621643066,366.141906738,23.35,41.8723640442,5.3,0.0,0.0
2013-08-04,235.976207733,342.930755615,23.05,31.3241519928,4.1,0.0,0.0
2013-08-05,280.689331055,308.999664307,20.85,24.598739624,5.1,0.0,0.0
2013-08-06,257.012683868,321.086853027,19.15,29.1004142761,3.2,0.0,0.0
2013-08-07,260.58600235,339.398956299,21.1,37.8883209229,4.2,0.0,0.0
2013-08-08,139.309894562,391.247558594,22.75,43.5471115112,4.9,0.0018,0.0
2013-08-09,41.6026988029,401.201507568,23.05,69.0991439819,5.1,0.0411,0.0
2013-08-10,258.525283813,365.384857178,24.4,38.5505561829,5.3,0.0,0.0
2013-08-11,266.843528748,324.433227539,22.2,20.3460140228,3.1,0.0,0.0
2013-08-12,251.458843231,350.823120117,23.6,34.3340339661,3.4,0.0,0.0
2013-08-13,92.1537914276,377.526611328,20.85,58.3691253662,2.4,0.0,0.0
2013-08-14,255.463733673,341.581970215,20.8,23.1396999359,6.3,0.0,0.0
2013-08-15,251.724964142,322.226379395,20.6,19.039812088,4.4,0.0,0.0
2013-08-16,235.633255005,336.79486084,21.7,36.0688438416,3.8,0.0,0.0
2013-08-17,225.977043152,343.528167725,20.55,34.3295059204,3.3,0.0,0.0
2013-08-18,145.08722496,363.559509277,21.4,51.9299507141,2.8,0.0,0.0
2013-08-19,195.520988464,357.647064209,23.35,61.1922225952,4.0,0.0,0.0
2013-08-20,230.712409973,359.904724121,25.6,39.3459625244,3.0,0.0,0.0
2013-08-21,229.977199554,359.545593262,25.55,25.4207706451,3.3,0.0,0.0
2013-08-22,191.151893616,378.031921387,26.4,43.2151527405,5.5,0.0,0.0
2013-08-23,224.557121277,362.656829834,22.25,49.1507301331,4.3,0.0,0.0
2013-08-24,253.825511932,318.403991699,18.9,23.7021827698,4.0,0.0,0.0
2013-08-25,246.176235199,321.099731445,22.2,28.0667037964,4.1,0.0,0.0
2013-08-26,141.155443192,381.184326172,24.15,49.9693832397,5.0,0.0003,0.0
2013-08-27,184.450557709,393.562561035,21.35,55.5250663757,2.2,0.0003,0.0
2013-08-28,211.676736832,378.855102539,19.45,39.5483627319,2.6,0.0,0.0
2013-08-29,52.4822349548,388.964141846,18.05,43.207649231,4.3,0.0,0.0
2013-08-30,192.938556671,378.443145752,23.05,37.9564819336,3.8,0.0,0.0
2013-08-31,89.6998338699,399.354736328,24.2,55.3566093445,4.4,0.0,0.0
2013-09-01,112.035009384,398.954711914,23.6,56.998210907,3.8,0.0097,0.0
2013-09-02,95.2924041748,400.938446045,23.9,65.1317825317,3.2,0.0097,0.0
2013-09-03,133.545501709,389.793273926,23.3,58.1486244202,3.7,0.0,0.0
2013-09-04,230.020751953,335.94619751,22.5,30.079334259,4.9,0.0,0.0
2013-09-05,152.111774445,349.678924561,17.5,36.5974655151,3.9,0.0023,0.0
2013-09-06,228.978370667,288.17288208,16.4,32.5534973145,3.9,0.0,0.0
2013-09-07,208.831497192,319.723419189,19.7,35.7284431458,4.8,0.0,0.0
2013-09-08,184.310260773,355.05166626,19.45,43.2095718384,5.9,0.0,0.0
2013-09-09,198.720558167,293.35369873,16.4,38.1686897278,4.2,0.0,0.0
2013-09-10,67.4572668076,374.697509766,20.0,59.2086601257,5.1,0.0008,0.0
2013-09-11,202.642421722,398.903808594,28.05,59.1490058899,4.4,0.0,0.0
2013-09-12,121.200008392,402.578857422,25.25,64.4605941772,5.1,0.0145,0.0
2013-09-13,130.13250351,385.400024414,20.25,60.5634002686,3.0,0.0099,0.0
2013-09-14,145.770053864,345.788452148,16.95,24.2943515778,4.4,0.0,0.0
2013-09-15,205.587314606,298.985931396,17.5,35.3646812439,3.8,0.0,0.0
2013-09-16,100.140077591,342.042449951,15.55,48.119228363,4.7,0.0,0.0
2013-09-17,201.796339035,272.417816162,11.15,22.0991592407,3.6,0.0,0.0
2013-09-18,209.795433044,287.250640869,17.25,23.8696365356,3.5,0.0,0.0
2013-09-19,209.260543823,301.812286377,16.95,20.2505378723,2.4,0.0,0.0
2013-09-20,203.20539093,312.412414551,17.25,20.806602478,2.4,0.0,0.0
2013-09-21,140.073226929,349.474853516,19.45,26.5323925018,5.6,0.0,0.0
2013-09-22,156.621494293,355.995849609,17.8,45.2950592041,5.9,0.0094,0.0
2013-09-23,202.847524643,277.409606934,14.15,17.3966903687,5.8,0.0,0.0
2013-09-24,199.962652206,279.923431396,14.15,20.3604736328,4.4,0.0,0.0
2013-09-25,173.239006042,310.640411377,14.15,28.3472442627,3.4,0.0,0.0
2013-09-26,170.378034592,336.403381348,15.0,30.5303115845,3.3,0.0,0.0
2013-09-27,92.5842695236,343.030914307,16.4,28.200510025,3.6,0.0,0.0
2013-09-28,174.351074219,312.818847656,16.7,22.3633861542,2.6,0.0,0.0
2013-09-29,179.547660828,303.676147461,13.65,18.8235301971,1.7,0.0,0.0
2013-09-30,170.080684662,302.963745117,14.45,23.3043746948,1.8,0.0,0.0
2013-10-01,180.306070328,313.09954834,17.5,29.6373405457,3.0,0.0,0.0
2013-10-02,169.361286163,332.454376221,22.25,32.8827133179,5.1,0.0,0.0
2013-10-03,161.126655579,318.246337891,21.1,43.8784141541,3.3,0.0,0.0
2013-10-04,64.940038681,352.760803223,17.2,50.8819770813,1.3,0.0008,0.0
2013-10-05,90.0211553574,377.824554443,17.5,49.7074584961,2.0,0.0,0.0
