Is this a test run?  False
Is this a full build?  True
5198 metadata files located
No previous metadata detected. Downloading metadata
Downloading began at  Fri May  6 13:35:37 2016
2016-05-06 13:35:40 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2010/149/OMI-Aura_L2-OMMYDCLD_2010m0529t1801-o31229_v003-2015m0129t235100.he5.xml [2526] -> "OMI-Aura_L2-OMMYDCLD_2010m0529t1801-o31229_v003-2015m0129t235100.he5.xml" [1]
2016-05-06 13:35:40 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2011/292/OMI-Aura_L2-OMMYDCLD_2011m1019t1000-o38622_v003-2015m0210t120742.he5.xml [2526] -> "OMI-Aura_L2-OMMYDCLD_2011m1019t1000-o38622_v003-2015m0210t120742.he5.xml" [1]
2016-05-06 13:35:40 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003/2008/147/OMI-Aura_L2-OMMYDCLD_2008m0526t1652-o20554_v003-2015m0113t123711.he5.xml [2526] -> "OMI-Aura_L2-OMMYDCLD_2008m0526t1652-o20554_v003-2015m0113t123711.he5.xml" [1]
2016-05-06 13:35:40 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2013/084/OMI-Aura_L2-OMMYDCLD_2013m0325t0132-o46233_v003-2015m0221t041705.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2013m0325t0132-o46233_v003-2015m0221t041705.he5.xml" [1]
2016-05-06 13:35:40 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2005/260/OMI-Aura_L2-OMMYDCLD_2005m0917t1548-o06253_v003-2014m1218t000753.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2005m0917t1548-o06253_v003-2014m1218t000753.he5.xml" [1]
2016-05-06 13:35:40 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2012/121/OMI-Aura_L2-OMMYDCLD_2012m0430t1811-o41452_v003-2015m0214t170123.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2012m0430t1811-o41452_v003-2015m0214t170123.he5.xml" [1]
2016-05-06 13:35:40 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2005/069/OMI-Aura_L2-OMMYDCLD_2005m0310t1630-o03472_v003-2014m1213t172917.he5.xml [2527] -> "OMI-Aura_L2-OMMYDCLD_2005m0310t1630-o03472_v003-2014m1213t172917.he5.xml" [1]
2016-05-06 13:35:40 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2004/310/OMI-Aura_L2-OMMYDCLD_2004m1105t1658-o01652_v003-2014m1211t094600.he5.xml [2526] -> "OMI-Aura_L2-OMMYDCLD_2004m1105t1658-o01652_v003-2014m1211t094600.he5.xml" [1]
2016-05-06 13:35:40 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2011/298/OMI-Aura_L2-OMMYDCLD_2011m1025t1558-o38713_v003-2015m0210t132936.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2011m1025t1558-o38713_v003-2015m0210t132936.he5.xml" [1]
2016-05-06 13:35:40 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2005/185/OMI-Aura_L2-OMMYDCLD_2005m0704t1612-o05161_v003-2014m1216t211132.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2005m0704t1612-o05161_v003-2014m1216t211132.he5.xml" [1]
2016-05-06 13:35:40 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003/2008/354/OMI-Aura_L2-OMMYDCLD_2008m1219t1737-o23569_v003-2015m0117t121408.he5.xml [2527] -> "OMI-Aura_L2-OMMYDCLD_2008m1219t1737-o23569_v003-2015m0117t121408.he5.xml" [1]
2016-05-06 13:35:40 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2005/197/OMI-Aura_L2-OMMYDCLD_2005m0716t1636-o05336_v003-2014m1217t012250.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2005m0716t1636-o05336_v003-2014m1217t012250.he5.xml" [1]
2016-05-06 13:35:40 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2013/084/OMI-Aura_L2-OMMYDCLD_2013m0325t1622-o46242_v003-2015m0221t042943.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2013m0325t1622-o46242_v003-2015m0221t042943.he5.xml" [1]
2016-05-06 13:35:40 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2010/083/OMI-Aura_L2-OMMYDCLD_2010m0324t1808-o30268_v003-2015m0128t210624.he5.xml [2527] -> "OMI-Aura_L2-OMMYDCLD_2010m0324t1808-o30268_v003-2015m0128t210624.he5.xml" [1]
2016-05-06 13:35:40 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2013/081/OMI-Aura_L2-OMMYDCLD_2013m0322t0239-o46190_v003-2015m0221t031351.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2013m0322t0239-o46190_v003-2015m0221t031351.he5.xml" [1]
2016-05-06 13:35:40 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2007/067/OMI-Aura_L2-OMMYDCLD_2007m0308t1723-o14074_v003-2015m0102t085329.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2007m0308t1723-o14074_v003-2015m0102t085329.he5.xml" [1]
2016-05-06 13:35:40 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2005/254/OMI-Aura_L2-OMMYDCLD_2005m0911t1626-o06166_v003-2014m1217t223044.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2005m0911t1626-o06166_v003-2014m1217t223044.he5.xml" [1]
2016-05-06 13:35:40 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2006/181/OMI-Aura_L2-OMMYDCLD_2006m0630t1609-o10418_v003-2014m1224t053414.he5.xml [2527] -> "OMI-Aura_L2-OMMYDCLD_2006m0630t1609-o10418_v003-2014m1224t053414.he5.xml" [1]
